City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Mookane,3,BW,1619917384,72,-23.688,26.6595,56.61,12.33
Hong Kong,90,HK,1619917254,87,22.2855,114.1577,80.01,3.04
East London,0,ZA,1619917384,67,-33.0153,27.9116,60.12,5.91
Carnarvon,100,AU,1619917385,64,-24.8667,113.6333,68.0,8.05
Kapaa,40,US,1619917385,69,22.0752,-159.319,80.6,13.8
Kaitangata,15,NZ,1619917385,54,-46.2817,169.8464,61.0,11.01
Punta Arenas,40,CL,1619917149,87,-53.15,-70.9167,41.0,6.91
Vaini,75,TO,1619917386,69,-21.2,-175.2,80.6,14.97
Otane,5,NZ,1619917386,52,-39.8833,176.6333,60.01,3.0
Dingle,17,PH,1619917386,61,10.9995,122.6711,87.03,12.5
Kumluca,65,TR,1619917387,42,36.3703,30.2869,75.61,4.99
Geraldton,0,AU,1619917387,47,-28.7667,114.6,59.0,10.36
Biltine,40,TD,1619917387,10,14.5333,20.9167,85.44,10.96
Sitrah,0,BH,1619917387,65,26.1547,50.6206,80.6,4.61
Southbridge,91,US,1619917388,51,42.0751,-72.0334,46.99,4.09
Mogadishu,100,SO,1619917388,75,2.0371,45.3438,82.08,8.52
Ushuaia,75,AR,1619917388,81,-54.8,-68.3,37.4,5.75
Ukiah,1,US,1619917202,40,39.1502,-123.2078,71.6,12.66
Sechura,11,PE,1619917389,67,-5.5569,-80.8222,73.27,15.55
Jumla,20,NP,1619917384,73,29.2747,82.1838,52.39,2.64
Busselton,9,AU,1619917389,95,-33.65,115.3333,59.0,1.99
Thompson,90,CA,1619917207,86,55.7435,-97.8558,23.0,9.22
Bethel,1,US,1619917389,46,41.3712,-73.414,52.0,4.61
Jamestown,20,US,1619917390,35,42.097,-79.2353,55.99,18.41
Nador,0,MA,1619917390,51,35.174,-2.9287,60.8,10.36
Izumo,75,JP,1619917390,82,35.3667,132.7667,51.8,16.11
Eyl,36,SO,1619917391,76,7.9803,49.8164,82.96,6.42
Lakes Entrance,100,AU,1619917391,60,-37.8811,147.981,69.01,1.01
Rikitea,100,PF,1619917391,81,-23.1203,-134.9692,75.43,8.52
Ribeira Grande,100,PT,1619917391,95,38.5167,-28.7,60.64,15.03
Salalah,0,OM,1619917392,83,17.0151,54.0924,82.4,3.44
Port Alfred,0,ZA,1619917392,58,-33.5906,26.891,60.26,4.36
Kavieng,20,PG,1619917392,71,-2.5744,150.7967,83.73,4.47
Sahuaripa,18,MX,1619917270,13,29.05,-109.2333,91.71,7.74
Ponta do Sol,100,PT,1619917393,65,32.6667,-17.1,57.0,3.0
Hithadhoo,100,MV,1619917393,70,-0.6,73.0833,83.73,4.0
Belmonte,75,BR,1619917393,88,-15.8631,-38.8828,69.8,4.61
Ketchikan,89,US,1619917394,90,55.3422,-131.6461,46.04,3.0
Albany,99,US,1619917394,54,42.6001,-73.9662,48.0,2.48
Cabo San Lucas,1,MX,1619917134,36,22.8909,-109.9124,81.0,12.66
Singaraja,83,ID,1619917394,75,-8.112,115.0882,83.79,8.93
Provideniya,98,RU,1619917395,54,64.3833,-173.3,27.1,5.12
Fairbanks,40,US,1619917252,39,64.8378,-147.7164,44.6,1.16
